backup_bom_id	route_id	route_code	process_id	process_code	process_name	product_id	product_code	item_id	item_code	quantity	deleted	create_time	update_time
210	922046	ROUTE-XLSX-00001	922839	Z2772	内管拉伸2	922277	YXN.037.011.1002	922278	YXN.041.011.1003	1.0	0	2026-05-15 19:20:53	2026-07-06 19:06:02
211	922046	ROUTE-XLSX-00001	922840	Z3720	裁剪管材	922277	YXN.037.011.1002	922276	YXN.037.011.1007	1.0	0	2026-05-15 19:20:53	2026-07-06 19:06:02
212	922046	ROUTE-XLSX-00001	922842	Z2520	尖端管与内管焊接	922277	YXN.037.011.1002	922286	YXN.037.011.1009	1.0	0	2026-05-15 19:20:53	2026-07-06 19:06:02
213	922046	ROUTE-XLSX-00001	922846	Z2480	球囊涂层	922277	YXN.037.011.1002	922284	YXN.037.011.1011	1.0	0	2026-05-15 19:20:54	2026-07-06 19:06:02
214	922046	ROUTE-XLSX-00001	922847	Z2590	球囊组件与海波管焊接	922277	YXN.037.011.1002	922279	YXN.041.011.1008	1.0	0	2026-05-15 19:20:54	2026-07-06 19:06:02
215	922046	ROUTE-XLSX-00001	922786	Z760	包套装管	922277	YXN.037.011.1002	922278	YXN.041.011.1003	1.0	0	2026-05-15 19:20:54	2026-07-06 19:06:02
216	922046	ROUTE-XLSX-00001	922850	Z830	纸塑袋封口（包装）	922277	YXN.037.011.1002	922276	YXN.037.011.1007	1.0	0	2026-05-15 19:20:54	2026-07-06 19:06:02
217	922046	ROUTE-XLSX-00001	922773	PROC-XLSX-00009	全检导丝	922277	YXN.037.011.1002	922286	YXN.037.011.1009	1.0	1	2026-05-15 19:20:54	2026-07-06 19:09:22
218	922047	ROUTE-XLSX-00002	922774	PROC-XLSX-00010	棘突丝拉伸2	922285	YXN.069.001.1011	922283	YXN.069.001.1009	1.0	0	2026-05-15 19:20:57	2026-05-15 19:20:57
219	922047	ROUTE-XLSX-00002	922775	PROC-XLSX-00011	棘突丝切割	922285	YXN.069.001.1011	922282	YXN.069.001.1006	1.0	0	2026-05-15 19:20:57	2026-05-15 19:20:57
220	922047	ROUTE-XLSX-00002	922776	PROC-XLSX-00012	棘突远端焊接	922285	YXN.069.001.1011	922281	YXN.069.001.1013	1.0	0	2026-05-15 19:20:57	2026-05-15 19:20:57
221	922047	ROUTE-XLSX-00002	922777	PROC-XLSX-00013	棘突远端塑型	922285	YXN.069.001.1011	922287	YXN.069.001.1014	1.0	0	2026-05-15 19:20:58	2026-05-15 19:20:58
222	922047	ROUTE-XLSX-00002	922778	PROC-XLSX-00014	棘突近端焊接	922285	YXN.069.001.1011	922283	YXN.069.001.1009	1.0	0	2026-05-15 19:20:58	2026-05-15 19:20:58
223	922047	ROUTE-XLSX-00002	922779	Z2975	棘突TPU 套管粘接	922285	YXN.069.001.1011	922281	YXN.069.001.1013	1.0	0	2026-05-15 19:20:58	2026-05-15 19:20:58
224	922047	ROUTE-XLSX-00002	922780	Z2774	棘突远端锥度焊接	922285	YXN.069.001.1011	922280	YXN.069.001.1003	1.0	0	2026-05-15 19:20:58	2026-05-15 19:20:58
225	922047	ROUTE-XLSX-00002	922781	Z2773	棘突近端粘接	922285	YXN.069.001.1011	922283	YXN.069.001.1009	1.0	0	2026-05-15 19:20:58	2026-05-15 19:20:58
226	922047	ROUTE-XLSX-00002	922782	Z2776	棘突球囊涂层	922285	YXN.069.001.1011	922282	YXN.069.001.1006	1.0	0	2026-05-15 19:20:59	2026-05-15 19:20:59
