table_name	tenant_id	active_count
mes_pro_route	1	3
mes_pro_route	122	0
mes_pro_route_process	1	77
mes_pro_route_process	122	0
mes_pro_route_product_bom	1	50
mes_pro_route_product_bom	122	0
